rule_id,if,then,training_samples,leaf_purity,rule_length,tree_path_length,machine_condition
1,discharge disposition code is not 1 AND discharge disposition code is not 11 AND discharge disposition code is not 22,readmitted,2813,0.998933522929257,3,3,discharge_disposition_id_1 <= 0.5 AND discharge_disposition_id_11 <= 0.5 AND discharge_disposition_id_22 <= 0.5
2,discharge disposition code is not 1 AND discharge disposition code is not 11 AND discharge disposition code is 22 AND medical specialty is not InternalMedicine,readmitted,140,0.9642857142857143,4,4,discharge_disposition_id_1 <= 0.5 AND discharge_disposition_id_11 <= 0.5 AND discharge_disposition_id_22 > 0.5 AND medical_specialty_InternalMedicine <= 0.5
3,discharge disposition code is not 1 AND discharge disposition code is not 11 AND discharge disposition code is 22 AND medical specialty is InternalMedicine,not_readmitted,12,0.8333333333333334,4,4,discharge_disposition_id_1 <= 0.5 AND discharge_disposition_id_11 <= 0.5 AND discharge_disposition_id_22 > 0.5 AND medical_specialty_InternalMedicine > 0.5
4,discharge disposition code is not 1 AND discharge disposition code is 11,not_readmitted,129,1.0,2,2,discharge_disposition_id_1 <= 0.5 AND discharge_disposition_id_11 > 0.5
5,discharge disposition code is 1 AND number inpatient <= 0.6523 AND time in hospital <= 0.4079 AND number emergency <= 1.051,not_readmitted,3328,0.9975961538461539,4,4,discharge_disposition_id_1 > 0.5 AND number_inpatient <= 0.6522882581 AND time_in_hospital <= 0.4079490975 AND number_emergency <= 1.050677449
6,discharge disposition code is 1 AND number inpatient <= 0.6523 AND time in hospital <= 0.4079 AND number emergency > 1.051,not_readmitted,223,0.6771300448430493,4,4,discharge_disposition_id_1 > 0.5 AND number_inpatient <= 0.6522882581 AND time_in_hospital <= 0.4079490975 AND number_emergency > 1.050677449
7,discharge disposition code is 1 AND number inpatient <= 0.6523 AND time in hospital > 0.4079 AND num lab procedures <= 0.02218,not_readmitted,219,0.9908675799086758,4,4,discharge_disposition_id_1 > 0.5 AND number_inpatient <= 0.6522882581 AND time_in_hospital > 0.4079490975 AND num_lab_procedures <= 0.02218474739
8,discharge disposition code is 1 AND number inpatient <= 0.6523 AND time in hospital > 0.4079 AND num lab procedures > 0.02218,readmitted,578,0.8391003460207612,4,4,discharge_disposition_id_1 > 0.5 AND number_inpatient <= 0.6522882581 AND time_in_hospital > 0.4079490975 AND num_lab_procedures > 0.02218474739
9,discharge disposition code is 1 AND number inpatient > 0.6523 AND num lab procedures <= -1.331,readmitted,49,1.0,3,4,discharge_disposition_id_1 > 0.5 AND number_inpatient > 0.6522882581 AND num_lab_procedures <= -1.33080709
10,discharge disposition code is 1 AND number inpatient > 0.6523 AND -1.331 < num lab procedures <= -0.3787,not_readmitted,83,0.7590361445783133,3,4,discharge_disposition_id_1 > 0.5 AND number_inpatient > 0.6522882581 AND -1.33080709 < num_lab_procedures <= -0.3787017465
11,discharge disposition code is 1 AND number inpatient > 0.6523 AND num lab procedures > -0.3787 AND metformin <= 1.5,readmitted,421,0.9881235154394299,4,4,discharge_disposition_id_1 > 0.5 AND number_inpatient > 0.6522882581 AND num_lab_procedures > -0.3787017465 AND metformin <= 1.5
12,discharge disposition code is 1 AND number inpatient > 0.6523 AND num lab procedures > -0.3787 AND metformin > 1.5,not_readmitted,5,0.8,4,4,discharge_disposition_id_1 > 0.5 AND number_inpatient > 0.6522882581 AND num_lab_procedures > -0.3787017465 AND metformin > 1.5
