rule_id,if,then,training_samples,leaf_purity,rule_length,tree_path_length,machine_condition
1,number inpatient <= 0.6523 AND discharge disposition code is not 22 AND discharge disposition code is not 5,not_readmitted,5382,0.9918246005202527,3,4,number_inpatient <= 0.6522882581 AND discharge_disposition_id_22 <= 0.5 AND discharge_disposition_id_5 <= 0.5
2,number inpatient <= 0.6523 AND discharge disposition code is not 22 AND discharge disposition code is 5,not_readmitted,93,0.6559139784946236,3,4,number_inpatient <= 0.6522882581 AND discharge_disposition_id_22 <= 0.5 AND discharge_disposition_id_5 > 0.5
3,0.6523 < number inpatient <= 2.608 AND discharge disposition code is not 22 AND discharge disposition code is not 1,readmitted,451,0.614190687361419,3,4,0.6522882581 < number_inpatient <= 2.608024716 AND discharge_disposition_id_22 <= 0.5 AND discharge_disposition_id_1 <= 0.5
4,0.6523 < number inpatient <= 2.608 AND discharge disposition code is not 22 AND discharge disposition code is 1,not_readmitted,311,0.9678456591639871,3,4,0.6522882581 < number_inpatient <= 2.608024716 AND discharge_disposition_id_22 <= 0.5 AND discharge_disposition_id_1 > 0.5
5,number inpatient <= 2.608 AND discharge disposition code is 22 AND num lab procedures <= -1.18 AND glipizide <= 0.5,readmitted,46,0.7608695652173914,4,4,number_inpatient <= 2.608024716 AND discharge_disposition_id_22 > 0.5 AND num_lab_procedures <= -1.180474758 AND glipizide <= 0.5
6,number inpatient <= 2.608 AND discharge disposition code is 22 AND num lab procedures <= -1.18 AND glipizide > 0.5,not_readmitted,8,0.875,4,4,number_inpatient <= 2.608024716 AND discharge_disposition_id_22 > 0.5 AND num_lab_procedures <= -1.180474758 AND glipizide > 0.5
7,number inpatient <= 2.608 AND discharge disposition code is 22 AND num lab procedures > -1.18,readmitted,533,0.900562851782364,3,3,number_inpatient <= 2.608024716 AND discharge_disposition_id_22 > 0.5 AND num_lab_procedures > -1.180474758
8,2.608 < number inpatient <= 4.564 AND discharge disposition code is not 1 AND discharge disposition code is not 11,readmitted,342,0.9327485380116959,3,4,2.608024716 < number_inpatient <= 4.563761115 AND discharge_disposition_id_1 <= 0.5 AND discharge_disposition_id_11 <= 0.5
9,2.608 < number inpatient <= 4.564 AND discharge disposition code is not 1 AND discharge disposition code is 11,not_readmitted,6,1.0,3,4,2.608024716 < number_inpatient <= 4.563761115 AND discharge_disposition_id_1 <= 0.5 AND discharge_disposition_id_11 > 0.5
10,2.608 < number inpatient <= 4.564 AND discharge disposition code is 1 AND glyburide <= 0.5,readmitted,176,0.7102272727272727,3,4,2.608024716 < number_inpatient <= 4.563761115 AND discharge_disposition_id_1 > 0.5 AND glyburide <= 0.5
11,2.608 < number inpatient <= 4.564 AND discharge disposition code is 1 AND glyburide > 0.5,not_readmitted,11,1.0,3,4,2.608024716 < number_inpatient <= 4.563761115 AND discharge_disposition_id_1 > 0.5 AND glyburide > 0.5
12,number inpatient > 4.564,readmitted,641,0.9797191887675507,1,2,number_inpatient > 4.563761115
