rule_id,if,if_denormalized,denormalized_features,then,training_samples,leaf_purity,rule_length,tree_path_length,machine_condition
1,discharge disposition code is not 1 AND discharge disposition code is not 11 AND discharge disposition code is not 13,discharge disposition code is not 1 AND discharge disposition code is not 11 AND discharge disposition code is not 13,not required,readmitted,3293,0.9993926510780443,3,3,discharge_disposition_id_1 <= 0.5 AND discharge_disposition_id_11 <= 0.5 AND discharge_disposition_id_13 <= 0.5
2,discharge disposition code is not 1 AND discharge disposition code is not 11 AND discharge disposition code is 13 AND payer code is not Unknown,discharge disposition code is not 1 AND discharge disposition code is not 11 AND discharge disposition code is 13 AND payer code is not Unknown,not required,not_readmitted,20,0.8,4,4,discharge_disposition_id_1 <= 0.5 AND discharge_disposition_id_11 <= 0.5 AND discharge_disposition_id_13 > 0.5 AND payer_code_Unknown <= 0.5
3,discharge disposition code is not 1 AND discharge disposition code is not 11 AND discharge disposition code is 13 AND payer code is Unknown,discharge disposition code is not 1 AND discharge disposition code is not 11 AND discharge disposition code is 13 AND payer code is Unknown,not required,readmitted,10,1.0,4,4,discharge_disposition_id_1 <= 0.5 AND discharge_disposition_id_11 <= 0.5 AND discharge_disposition_id_13 > 0.5 AND payer_code_Unknown > 0.5
4,discharge disposition code is not 1 AND discharge disposition code is 11,discharge disposition code is not 1 AND discharge disposition code is 11,not required,not_readmitted,102,1.0,2,2,discharge_disposition_id_1 <= 0.5 AND discharge_disposition_id_11 > 0.5
5,discharge disposition code is 1 AND number inpatient <= 0.6523 AND time in hospital <= 0.7462 AND diag 1 Neoplasms is false,discharge disposition code is 1 AND previous inpatient visits (binned) is 0 AND time in hospital <= 6.5 days AND primary diagnosis group is not Neoplasms,"number_inpatient, time_in_hospital",not_readmitted,3388,1.0,4,4,discharge_disposition_id_1 > 0.5 AND number_inpatient <= 0.6522882581 AND time_in_hospital <= 0.7462154627 AND diag_1_Neoplasms <= 0.5
6,discharge disposition code is 1 AND number inpatient <= 0.6523 AND time in hospital <= 0.7462 AND diag 1 Neoplasms is true,discharge disposition code is 1 AND previous inpatient visits (binned) is 0 AND time in hospital <= 6.5 days AND primary diagnosis group is Neoplasms,"number_inpatient, time_in_hospital",not_readmitted,116,0.9568965517241379,4,4,discharge_disposition_id_1 > 0.5 AND number_inpatient <= 0.6522882581 AND time_in_hospital <= 0.7462154627 AND diag_1_Neoplasms > 0.5
7,discharge disposition code is 1 AND number inpatient <= 0.6523 AND time in hospital > 0.7462 AND number diagnoses <= -0.3762,"discharge disposition code is 1 AND previous inpatient visits (binned) is 0 AND time in hospital > 6.5 days AND number of diagnoses (grouped) is one of {1, 2, 3, 4, 5, 6}","number_inpatient, time_in_hospital, number_diagnoses",not_readmitted,125,1.0,4,4,discharge_disposition_id_1 > 0.5 AND number_inpatient <= 0.6522882581 AND time_in_hospital > 0.7462154627 AND number_diagnoses <= -0.3762366883
8,discharge disposition code is 1 AND number inpatient <= 0.6523 AND time in hospital > 0.7462 AND number diagnoses > -0.3762,"discharge disposition code is 1 AND previous inpatient visits (binned) is 0 AND time in hospital > 6.5 days AND number of diagnoses (grouped) is one of {7, 8, 9, 10 or more}","number_inpatient, time_in_hospital, number_diagnoses",readmitted,394,0.5609137055837563,4,4,discharge_disposition_id_1 > 0.5 AND number_inpatient <= 0.6522882581 AND time_in_hospital > 0.7462154627 AND number_diagnoses > -0.3762366883
9,discharge disposition code is 1 AND 0.6523 < number inpatient <= 2.608 AND num lab procedures <= -0.4288,discharge disposition code is 1 AND previous inpatient visits (binned) is 1 AND number of laboratory procedures <= 34.5,"number_inpatient, num_lab_procedures",not_readmitted,101,0.6534653465346535,3,4,discharge_disposition_id_1 > 0.5 AND 0.6522882581 < number_inpatient <= 2.608024716 AND num_lab_procedures <= -0.4288125485
10,discharge disposition code is 1 AND number inpatient > 2.608 AND num lab procedures <= -0.4288,"discharge disposition code is 1 AND previous inpatient visits (binned) is one of {2, 3 or more} AND number of laboratory procedures <= 34.5","number_inpatient, num_lab_procedures",readmitted,24,0.9583333333333334,3,4,discharge_disposition_id_1 > 0.5 AND number_inpatient > 2.608024716 AND num_lab_procedures <= -0.4288125485
11,discharge disposition code is 1 AND number inpatient > 0.6523 AND num lab procedures > -0.4288 AND metformin <= 1.5,"discharge disposition code is 1 AND previous inpatient visits (binned) is one of {1, 2, 3 or more} AND number of laboratory procedures > 34.5 AND metformin <= 1.5","number_inpatient, num_lab_procedures",readmitted,422,0.9739336492890995,4,4,discharge_disposition_id_1 > 0.5 AND number_inpatient > 0.6522882581 AND num_lab_procedures > -0.4288125485 AND metformin <= 1.5
12,discharge disposition code is 1 AND number inpatient > 0.6523 AND num lab procedures > -0.4288 AND metformin > 1.5,"discharge disposition code is 1 AND previous inpatient visits (binned) is one of {1, 2, 3 or more} AND number of laboratory procedures > 34.5 AND metformin > 1.5","number_inpatient, num_lab_procedures",not_readmitted,5,1.0,4,4,discharge_disposition_id_1 > 0.5 AND number_inpatient > 0.6522882581 AND num_lab_procedures > -0.4288125485 AND metformin > 1.5
