rule_id,if,then,training_samples,leaf_purity,rule_length,tree_path_length,machine_condition
1,discharge disposition code is not 1 AND discharge disposition code is not 11 AND discharge disposition code is not 13,readmitted,3293,0.9993926510780443,3,3,discharge_disposition_id_1 <= 0.5 AND discharge_disposition_id_11 <= 0.5 AND discharge_disposition_id_13 <= 0.5
2,discharge disposition code is not 1 AND discharge disposition code is not 11 AND discharge disposition code is 13 AND payer code is not Unknown,not_readmitted,20,0.8,4,4,discharge_disposition_id_1 <= 0.5 AND discharge_disposition_id_11 <= 0.5 AND discharge_disposition_id_13 > 0.5 AND payer_code_Unknown <= 0.5
3,discharge disposition code is not 1 AND discharge disposition code is not 11 AND discharge disposition code is 13 AND payer code is Unknown,readmitted,10,1.0,4,4,discharge_disposition_id_1 <= 0.5 AND discharge_disposition_id_11 <= 0.5 AND discharge_disposition_id_13 > 0.5 AND payer_code_Unknown > 0.5
4,discharge disposition code is not 1 AND discharge disposition code is 11,not_readmitted,102,1.0,2,2,discharge_disposition_id_1 <= 0.5 AND discharge_disposition_id_11 > 0.5
5,discharge disposition code is 1 AND number inpatient <= 0.6523 AND time in hospital <= 0.7462 AND diag 1 Neoplasms is false,not_readmitted,3388,1.0,4,4,discharge_disposition_id_1 > 0.5 AND number_inpatient <= 0.6522882581 AND time_in_hospital <= 0.7462154627 AND diag_1_Neoplasms <= 0.5
6,discharge disposition code is 1 AND number inpatient <= 0.6523 AND time in hospital <= 0.7462 AND diag 1 Neoplasms is true,not_readmitted,116,0.9568965517241379,4,4,discharge_disposition_id_1 > 0.5 AND number_inpatient <= 0.6522882581 AND time_in_hospital <= 0.7462154627 AND diag_1_Neoplasms > 0.5
7,discharge disposition code is 1 AND number inpatient <= 0.6523 AND time in hospital > 0.7462 AND number diagnoses <= -0.3762,not_readmitted,125,1.0,4,4,discharge_disposition_id_1 > 0.5 AND number_inpatient <= 0.6522882581 AND time_in_hospital > 0.7462154627 AND number_diagnoses <= -0.3762366883
8,discharge disposition code is 1 AND number inpatient <= 0.6523 AND time in hospital > 0.7462 AND number diagnoses > -0.3762,readmitted,394,0.5609137055837563,4,4,discharge_disposition_id_1 > 0.5 AND number_inpatient <= 0.6522882581 AND time_in_hospital > 0.7462154627 AND number_diagnoses > -0.3762366883
9,discharge disposition code is 1 AND 0.6523 < number inpatient <= 2.608 AND num lab procedures <= -0.4288,not_readmitted,101,0.6534653465346535,3,4,discharge_disposition_id_1 > 0.5 AND 0.6522882581 < number_inpatient <= 2.608024716 AND num_lab_procedures <= -0.4288125485
10,discharge disposition code is 1 AND number inpatient > 2.608 AND num lab procedures <= -0.4288,readmitted,24,0.9583333333333334,3,4,discharge_disposition_id_1 > 0.5 AND number_inpatient > 2.608024716 AND num_lab_procedures <= -0.4288125485
11,discharge disposition code is 1 AND number inpatient > 0.6523 AND num lab procedures > -0.4288 AND metformin <= 1.5,readmitted,422,0.9739336492890995,4,4,discharge_disposition_id_1 > 0.5 AND number_inpatient > 0.6522882581 AND num_lab_procedures > -0.4288125485 AND metformin <= 1.5
12,discharge disposition code is 1 AND number inpatient > 0.6523 AND num lab procedures > -0.4288 AND metformin > 1.5,not_readmitted,5,1.0,4,4,discharge_disposition_id_1 > 0.5 AND number_inpatient > 0.6522882581 AND num_lab_procedures > -0.4288125485 AND metformin > 1.5
